ORF Localization
YLR051C nucleus
YIL083C cytosol
YML121W vacuole_membrane
YBR061C cytosol
YLR045C punctate
YLR397C cytosol
YDL164C nucleus:mitochondria
YJL168C nucleus
YER092W nucleus
YDL225W bud_neck
YLR168C mitochondria
YMR239C nucleus
YER083C ER
YOR112W cytosol
YDR483W punctate
YIL044C punctate
YOR006C cytosol
YJR025C cytosol
YOR217W nucleus
YHR058C nucleus
YGR132C mitochondria
YCL001W punctate
YHR117W mitochondria
YKR095W nuclear_periphery
YGR038W ER
YBR059C cytosol
YGR138C cell_periphery
YNL168C mitochondria
YPL026C cytosol
YKL184W cytosol
YOL060C vacuole_membrane
YOR220W cytosol
YGR076C mitochondria
YLR351C mitochondria
YOR250C nucleus
YAL025C mitochondria
YLR212C punctate
YBL011W ER
YDR335W nucleus
YDR093W cell_periphery
YDR068W cytosol
YPR100W mitochondria
YCL025C punctate
YEL065W vacuole
YJL145W cytosol
YLR118C cytosol
YGR105W vacuole
YCR059C cytosol
YOR236W mitochondria
YJL207C punctate
YBR227C mitochondria
YOL129W vacuole_membrane
YLR369W mitochondria
YER155C cytosol:bud_neck
YML113W nucleus
YNL274C cytosol
YOR132W punctate
YPR073C cytosol
YMR259C cytosol
YLR142W mitochondria
YDR320C-A punctate
YKL151C cytosol
YFL008W nucleus
YMR139W cytosol
YIL105C punctate
YNL323W ER
YDR257C nucleus
YGL016W nucleus
YDL134C cytosol
YPR154W cytosol
YHR086W nucleus
YOR078W nucleus
YGR255C mitochondria
YER024W cytosol
YNR033W cytosol
YGL178W cytosol
YIL128W cytosol
YER114C bud_neck
YJL011C nucleus
YKL110C cytosol
YNL330C nucleus
YDR178W mitochondria
YML124C punctate:cytosol
YPR091C punctate:ER
YBR251W mitochondria
YOL051W nucleus
YKL103C punctate:cytosol
YKL209C vacuole
YOR232W cytosol
YPL097W mitochondria
YJL197W nucleus:cytosol
YOR253W cytosol
YLR327C cytosol
YML082W cytosol
YNL088W nucleus
YBL105C bud_neck
YGR251W nucleolus
YHL002W punctate
YPL119C cytosol
YGR205W cytosol
YOL115W nucleus
YDR210W cell_periphery
YPL227C ER
YLR231C cytosol
YAL043C nucleus
YKR067W ER
YFL001W nucleus
YLL022C nucleus
YJR068W nucleus
YNL183C cytosol
YDR020C nucleus:cytosol
YGR203W cytosol
YNL201C nucleus
YDL005C nucleus
YGL216W punctate
YBR094W cytosol
YJL164C nucleus:cytosol
YLL034C nucleus
YDL021W cytosol
YKR003W cell_periphery
YGL035C nucleus
YDR195W nucleus
YDL058W punctate
YIL030C ER
YNL090W cytosol
YPR161C nucleus
YBR132C ER
YIL130W nucleus
YOL149W cytosol
YDL204W ER
YIL047C vacuole_membrane
YMR192W bud_neck
YNL065W cell_periphery
YJL192C ER
YNL166C cytosol:bud_neck
YDR320C ambiguous
YLR095C nucleus
YLR364W cytosol
YKR068C punctate
YNL041C punctate
YBR200W bud_neck
YLR414C cell_periphery
YAL041W nucleus:cytosol:bud_neck
YGL213C cytosol
YPR002W mitochondria
YLR201C mitochondria
YGR075C nucleus
YER022W nucleus
YHR072W punctate
YPL125W nucleus
YNL130C punctate
YPR020W mitochondria
YLR450W nuclear_periphery
YCL010C nucleus
YOR347C cytosol
YNL297C punctate
YJL016W cytosol
YKL215C cytosol
YNR030W ER
YER088C cytosol
YFL023W cytosol
YDR280W cytosol
YDR456W punctate
YCL055W nucleus
YFL028C cytosol
YNL036W cytosol
YDL174C mitochondria
YMR276W cytosol:nucleus
YHR077C cytosol
YOR163W cytosol
YHR059W mitochondria
YJL155C cytosol
YPL015C cytosol
YLR181C punctate
YOL136C punctate
YML061C nucleus
YML128C ER
YOR069W punctate
YER123W vacuole
YKL205W nuclear_periphery
YDL224C cytosol
YHR142W punctate
YLL031C ER
YGL212W vacuole
YPL190C punctate
YIL036W nucleus
YOR057W cytosol
YDR486C vacuole_membrane
YNL181W ER
YOL135C nucleus
YPR138C cell_periphery
YNL258C ER
YNL246W nucleus
YJL054W mitochondria
YER008C bud_neck
YHR082C cytosol
YDR017C cytosol
YNL139C nucleus
YBR095C nucleus
YKL127W cytosol
YDR373W punctate
YOR160W nucleus:cytosol
YPR042C cytosol
YDL120W mitochondria
YNL027W cytosol
YGL209W nucleus
YKL078W nucleolus
YJL204C cytosol
YPR124W cell_periphery
YLR223C nucleus
YDR457W nucleolus
YML097C cytosol
YML062C nucleus
YGR080W punctate
YCR044C ER
YGR030C nucleus
YKL170W mitochondria
YER078C mitochondria
YML102W nucleus
YDR138W nucleus
YFR016C cytosol
YDL112W cytosol
YLR386W vacuole_membrane
YJR085C mitochondria
YBL001C cytosol
YDR063W cytosol
YKL025C cytosol
YOL056W cytosol
YOR140W nucleus
YKR079C nucleus
YKL086W cytosol
YPR055W bud_neck
YKL113C nucleus
YBR162C vacuole
YDR041W mitochondria
YHR046C cytosol
YGR046W mitochondria
YOR131C cytosol
YNL272C cytosol:bud_neck
YLR436C punctate:cytosol
YPR045C nucleus
YNR029C cytosol
YHR121W cytosol
YPL011C nucleus
YDR186C cytosol
YPL139C nucleus
YPR067W mitochondria
YBL046W nucleus
YLR144C cytosol
YPL270W mitochondria
YOR274W nucleus
YDR059C cytosol
YGL108C cell_periphery
YPL057C vacuole
YBR253W nucleus
YIL057C below_threshold
YDL234C punctate:cytosol
YGR072W cytosol
YBR003W mitochondria
YIR001C cytosol
YIL084C nucleus
YKL059C nucleus
YDR298C punctate
YMR231W punctate
YFL007W nucleus
YHR009C cytosol
YFL047W cytosol:bud_neck
YJR046W nucleus
YML114C nucleus
YER161C nucleus
YFR047C cytosol
YLL040C cytosol
YLR275W nucleus
YDL019C cell_periphery
YOR077W cytosol
YJL084C cytosol
YNL097C nucleus
YAL017W cytosol
YBR110W ER
YMR076C nucleus
YFR014C cytosol
YML091C mitochondria
YNL119W cytosol
YJR064W cytosol
YBR265W ER
YPL067C cytosol
YJL074C nucleus
YJR067C cytosol
YOL093W nucleus
YHR122W cytosol
YJL146W nucleus
YIL153W cytosol
YIL020C cytosol
YGR262C nucleus
YHR161C bud_neck
YGL221C mitochondria
YPR051W cytosol
YMR313C punctate
YHL030W nucleus:cytosol
YNL156C ER
YLL001W punctate
YDR453C cytosol
YDL044C mitochondria
YGL190C cytosol
YLR071C nucleus
YJR005W bud_neck
YGR163W vacuole_membrane
YBR182C punctate
YDR105C vacuole_membrane
YNL122C mitochondria
YDL144C cytosol
YDR169C cytosol
YGL133W nucleus
YNL336W vacuole
YOL019W cell_periphery
YHR028C below_threshold
YOR043W cell_periphery
YOR262W cytosol
YBR287W ER
YMR029C ER:ambiguous
YMR170C cytosol
YKR097W below_threshold
YDR434W ER
YFR028C nucleolus
YCL011C nucleus
YDR150W punctate
YJR073C ER
YLR178C cytosol
YHR165C nucleus
YLR166C bud_neck
YBR145W cytosol
YGL141W nucleus
YDR205W ER
YDR051C cytosol
YLR277C nucleus
YDR096W nucleus
YLR148W punctate
YBR260C bud_neck
YBL038W mitochondria
YNL215W nucleus
YLR393W mitochondria
YOR018W cytosol
YER107C nuclear_periphery
YJR032W cytosol
YDR531W cytosol
YIR036C cytosol
YBR053C cytosol
YOR035C cytosol
YCR090C cytosol
YDR389W cytosol
YGL127C nucleus
YER152C cytosol
YMR195W vacuole_membrane
YNL056W cytosol
YOL090W nucleus
YBR288C punctate
YIL143C nucleus
YGR002C nucleus
YDR176W nucleus
YKL206C cytosol
YDL025C cytosol
YPL131W nucleus
YMR165C cytosol
YNL245C nucleus
YGR012W mitochondria
YKL155C mitochondria
YPR174C nuclear_periphery
YHL013C cytosol
YOR083W nucleus
YMR044W nucleus
YMR113W punctate:cytosol
YKL130C cytosol
YLR403W nucleus
YER118C bud_neck
YOR304C-A cytosol:bud_neck
YGL153W punctate
YER059W cytosol
YFL004W ER
YHL020C nucleus
YOR290C nucleus
YPR025C nucleus
YDR247W cytosol
YER132C cytosol
YNL108C cytosol
YJL208C mitochondria
YEL048C punctate
YOR104W punctate:cell_periphery
YKL173W nucleus
YML115C punctate
YDR111C cytosol
YIL063C nucleus
YBR152W nucleus
YBL102W punctate
YJR047C cytosol
YCR083W mitochondria
YCR095C cytosol
YNL155W cytosol
YPR008W cytosol
YFR041C ER
YER079W cytosol
YHR138C cytosol
YDR507C bud_neck
YHR110W ER
YAL062W cytosol
YGL006W vacuole_membrane
YMR169C cytosol
YJL062W ER
YIL026C nucleus
YDR513W nucleus
YGR274C nucleus
YBR236C nucleus
YJL183W punctate
YGR120C punctate
YPL233W punctate
YBR081C nucleus
YML101C ER
YBR261C cytosol
YMR221C vacuole
YCR017C ER
YGR097W cytosol
YBR111C cytosol
YGL164C cytosol
YGR202C nuclear_periphery
YPR070W nucleus
YDR235W nucleus
YNL317W nucleus
YHR127W nucleus
YML080W nucleus
YMR110C punctate
YLR412W cytosol
YML014W cytosol
YGR014W vacuole
YDR410C punctate:ER
YGR194C cytosol
YIL161W cytosol
YCR054C cytosol
YDR025W cytosol
YHR102W cytosol
YDL207W nuclear_periphery
YBR137W cytosol
YHL017W punctate
YOR118W cytosol
YKL114C nucleus
YGR275W nucleus
YDR289C nucleus
YJR147W nucleus:cytosol
YGL084C ER
YCR042C nucleus
YNR007C cytosol
YPR024W mitochondria
YJL062W-A mitochondria
YKR089C punctate
YDR208W cytosol
YDR310C nucleus
YDR505C cytosol
YNL292W nucleus
YKR038C nucleus
YGR271W cytosol
YLR309C punctate:cytosol
YJL121C cytosol
YDR492W ER
YDR441C cytosol
YPL045W punctate
YBR238C mitochondria
YBL037W cell_periphery:bud_neck
YJR031C punctate
YDR295C nucleus
YML112W nucleus
YPR017C cytosol
YNL073W mitochondria
YGL194C nucleus
YKL102C cytosol
YJL179W cytosol
YBR015C punctate
YIL042C mitochondria
YER048C nucleus
YER061C mitochondria
YOL048C punctate
YDL159W cytosol
YLR215C cytosol
YIR008C nucleus
YHR154W nucleus:puncta
YKL022C nucleus
YMR121C nucleus
YOR248W vacuole
YDR003W vacuole:cytosol
YOL066C cytosol
YJR096W cytosol
YKL075C cytosol
YER053C mitochondria
YGR040W nucleus
YFR025C cytosol
YIL121W cell_periphery
YGR129W nucleus
YBL091C nucleus
YLR038C cytosol
YHL009C nucleus:cytosol
YNR024W nucleus
YCR094W punctate
YBR231C nucleus
YBR197C cytosol
YMR171C punctate
YEL036C punctate
YKL183W nucleus
YDL003W nucleus
YGR111W cytosol
YGL080W mitochondria
YGL233W bud_neck
YOL134C cytosol
YKR023W cytosol
YGL025C nucleus
YOL087C cytosol
YKR013W cytosol
YDR244W punctate
YDR007W cytosol
YPL100W punctate
YLL015W vacuole_membrane
YGL223C punctate
YDR329C punctate
YIL068C bud_neck
YDR301W nucleus
YGR092W cytosol
YOL071W mitochondria
YFL034W punctate
YFR006W cytosol
YGL018C mitochondria
YPL161C cytosol
YOL081W cytosol
YLR430W nucleus
YNL102W nucleus
YDR084C punctate
YJR112W punctate
YGR239C punctate
YBR237W nucleus
YEL042W punctate
YLR003C nucleus
YLR190W punctate:cytosol
YBL061C bud_neck
YDR539W cytosol
YIL108W punctate:cytosol
YFL034C-B cytosol:bud_neck
YMR117C punctate
YGR126W nucleus
YKR100C bud_neck
YPL053C punctate
YNL278W cytosol:bud_neck
YKR010C nucleolus
YLR020C cytosol
YDR376W mitochondria
YOR244W ER
YDR330W nucleus
YCL034W cytosol
YDR204W mitochondria
YPR032W bud_neck
YPL151C nucleus
YOR275C cytosol
YDL117W cytosol:bud_neck
YGR013W nucleus
YJL079C vacuole
YMR069W nucleus
YAL032C nucleus
YIL095W punctate
YPL122C nucleus
YLR401C nucleus
YFR021W cytosol
YGR047C nucleus
YGR100W cytosol
YOR233W cell_periphery
YDR473C nucleus
YNR039C ER
YGR206W punctate
YIL097W nucleus
YGR112W mitochondria
YER157W punctate
YLR039C punctate
YNL059C nucleus
YNL053W cytosol
YGR252W nucleus
YKL095W nucleus
YJR074W cytosol
YLR088W ER
YLR405W cytosol
YGL143C mitochondria
YBR070C cytosol
YLL032C cytosol
YHR083W mitochondria
YEL017W nuclear_periphery
YKL139W nucleus
YJR082C nucleus
YGR171C mitochondria
YDR122W cytosol
YPL006W vacuole_membrane
YNR055C cell_periphery
YBR140C cytosol
YOL028C nucleus
YNL076W cytosol
YPL107W mitochondria
YPR172W cytosol
YMR214W ambiguous
YPR155C mitochondria
YIL142W nucleus
YCL029C punctate
YBR254C punctate
YKR083C punctate
YPR104C nucleus
YPL213W nucleus
YEL020C cytosol
YKL042W punctate
YDR110W nucleolus
YPL007C nucleus
YDL132W nucleus
YEL053C cytosol
YNL260C cytosol
YNL039W nucleus
YDR006C nucleus
YNR012W nucleus
YNL227C cytosol
YKR029C nucleus
YLR191W punctate
YOR371C cytosol
YBR242W cytosol
YIR038C cytosol
YBR233W-A punctate
YOR201C mitochondria
YGL091C cytosol
YKR045C cytosol
YML059C ER
YGR058W cytosol
YNR061C vacuole
YJR149W cytosol
YGL140C cytosol
YML030W mitochondria
YML032C nucleus
YNR010W nucleus
YDR115W mitochondria
YBR129C cytosol
YER084W cytosol
YPL236C vacuole_membrane
YGR232W cytosol
YPR023C nucleus
YOR143C cytosol
YJR083C cytosol
YKL045W nucleus
YIR035C cytosol
YLR096W cytosol
YHR118C nucleus
YOL031C cytosol
YNR028W vacuole
YKL052C punctate
YGR270W nucleus
YGL241W nucleus:cytosol
YMR168C punctate
YMR268C nucleus
YGR277C cytosol
YEL043W ER
YER040W nucleus
YJR130C cytosol
YJL049W cytosol
YPL116W bud_neck
YJL085W bud_neck
YDR482C nucleus
YOR238W cytosol
YBR057C cytosol
YPR107C nucleus
YBL035C nucleus
YLR001C vacuole_membrane
YBR123C nucleus
YJL110C nucleus
YBR073W nucleus
YPL104W mitochondria
YDR075W nucleus:cytosol
YPR047W mitochondria
YKL043W nucleus
YDL095W ER
YIL112W nucleus
YML111W cytosol
YKL026C cytosol
YPL180W vacuole_membrane
YOL069W punctate
YPR171W punctate
YHL016C cytosol
YDR283C cytosol
YGR247W punctate
YBR187W vacuole
YGL167C ER
YNL146W ER
YNL066W vacuole_membrane
YNL162W-A nucleus
YDR275W punctate
YNL328C mitochondria
YNR040W mitochondria
YOR319W nucleus
YNL298W bud_neck
YLR272C nucleus
YER172C nucleus
YNL125C ER
YER169W nucleus
YOL033W mitochondria
YDR325W nucleus
YBR007C cytosol
YER013W nucleus
YNL106C punctate
YGR198W punctate
YKL182W cytosol
YPL171C cytosol
YOR291W ER
YOR188W bud_neck:cytosol
YEL018W nucleus
YOL096C mitochondria
YER075C cytosol
YDR243C nucleus
YKL189W cytosol
YLL043W cell_periphery
YOL068C nucleus
YGL197W cytosol
YNL250W nucleus
YBR056W cytosol
YLR454W cytosol
YJR008W nucleus
YEL019C nucleus
YIL109C ER
YOL072W nuclear_periphery
YDR202C vacuole
YLR055C nucleus
YCL039W cytosol
YNL068C nucleus
YGL145W ER
YNL032W cytosol
YMR077C punctate
YOR386W nucleus
YDR159W nuclear_periphery
YGR246C nucleus
YLR459W ER
YML119W cytosol
YGR181W cytosol
YMR104C cytosol
YDR108W cytosol
YHR040W nucleus
YAL031C cytosol
YNL099C cytosol
YHR023W bud_neck
YDR194C mitochondria
YKR049C mitochondria
YKL150W mitochondria
YIL154C cytosol
YOR115C punctate
YDL054C vacuole_membrane
YNL223W cytosol
YJL173C nucleus
YGL004C cytosol
YDR530C cytosol
YKR063C nucleus
YJR001W below_threshold
YPR006C mitochondria
YNL103W nucleus
YGL117W cytosol
YLL062C cytosol
YDL230W cytosol
YLR005W nucleus
YBR257W nucleus
YDR305C cytosol
YIL019W nucleus
YIL096C nucleus
YLR371W cytosol
YIL098C mitochondria
YMR135C nucleus:cytosol
YNL078W bud_neck
YPL076W ER
YML020W cytosol
YDR027C punctate
YMR090W cytosol
YLR417W cytosol
YHL025W nucleus
YJL048C punctate:nuclear_periphery
YDR270W punctate
YJR033C below_threshold
YPL138C nucleus
YMR219W nuclear_periphery
YLR362W cytosol
YDL087C nucleus
YDR219C mitochondria
YKL012W nucleus
YIL079C nucleus
YBR188C nucleus
YDR079W mitochondria
YNL234W cytosol
YJL203W nucleus
YNL271C bud_neck
YBR141C nucleolus
YOR195W punctate
YDR469W nucleus
YOR311C ER
YGL083W punctate
YLR011W cytosol
YDL030W nucleus
YGR219W nucleus
YKL197C punctate
YOR330C mitochondria
YPL241C cytosol
YKL091C nucleus
YML006C cytosol
YLR315W punctate
YFR031C nucleus
YHR038W mitochondria
YLR146C cytosol
YHR034C nucleus:cytosol
YLR290C mitochondria
YLR218C cytosol
YJR075W punctate
YJL144W cytosol
YGR102C mitochondria
YLR090W mitochondria
YDR416W nucleus
YDL033C mitochondria
YDR240C nucleus
YMR223W nucleus
YNL152W cytosol
YHL026C below_threshold
YML096W cytosol
YNL283C cell_periphery
YHR090C nucleus
YKR011C nucleus
YBR198C below_threshold
YHR036W ER
YMR316W cytosol
YGR089W ER
YDL101C nucleus
YGL013C nucleus
YPL193W nucleus
YML076C nucleus
YBL097W nucleus
YKR099W nucleus
YLR427W cytosol
YNL164C cytosol
YDR478W nucleus
YJR055W nucleus
YDL115C below_threshold
YER054C punctate
YDR151C cytosol
YCR037C ER
YMR213W nucleus
YDL090C cytosol
YPL046C nucleus:cytosol
YBR055C nucleus
YLR177W cytosol
YDR073W nucleus
YGR134W cytosol
YAR028W ambiguous
YIR011C nucleus
YER004W ER
YDR495C punctate
YGR233C nucleus:cytosol
YJL099W punctate
YML064C punctate
YPL247C below_threshold
YDL017W nucleus
YDR039C cytosol
YHR166C nucleus
YML079W cytosol
YJR057W cytosol
YGL174W nucleus
YNL169C mitochondria
YCR082W nucleus
YDL157C mitochondria
YDL085W below_threshold
YJL029C punctate
YKL033W cytosol
YBR030W nucleus
YDR356W punctate
YER163C cytosol
YGR161C nucleus
YIR023W nucleus
YNR048W cytosol
YHR010W cytosol
YDR484W punctate
YDR252W cytosol
YDL146W cytosol
YDL077C vacuole
YDR267C cytosol
YKL074C nucleus
YPL245W nucleus
YGR142W cytosol
YMR059W mitochondria
YDR268W mitochondria
YLR390W mitochondria
YGL047W ER
YGR062C mitochondria
YGR104C nucleus
YDR236C below_threshold
YOR251C cytosol
YDL175C nucleus
YBL036C cytosol
YBL074C cytosol
YOL045W cytosol
YOL108C nucleus
YDR279W nucleus
YCR033W nucleus
YER047C cytosol:bud_neck
YMR020W cytosol
YIR010W punctate
YPL014W cytosol
YDR081C nucleus
YDR217C nucleus
YKR031C cytosol
YJR051W mitochondria
YPR152C nucleus
YDR443C nucleus
YDR386W cytosol
YBR005W cytosol
YIR021W mitochondria
YNL136W nucleus
YDR425W punctate
YLR452C cytosol
YCL014W bud_neck
YPL264C punctate
YLR278C nucleus
YLR422W cytosol
YKL047W cytosol
YNL224C nucleus
YKR078W cytosol
YHR060W ER
YDL010W vacuole
YHR001W nucleus
YHR045W ER
YOR329C cytosol
YPL089C nucleus
YAL023C ER
YDR362C nucleus
YLR306W cytosol
YJR006W nucleus
YHR029C cytosol
YMR285C cytosol
YLL007C cytosol
YNL214W punctate
YOR373W punctate
YDR080W vacuole_membrane
YDR363W nucleus
YKR096W nucleus
YMR160W vacuole_membrane
YGR140W punctate
YCL044C mitochondria
YBR199W vacuole
YML004C cytosol
YLR214W cytosol
YLR358C below_threshold
YPL029W mitochondria
YLR136C cytosol
YER111C nucleus
YMR075W nucleus
YEL061C punctate
YMR124W bud_neck
YKL063C punctate
YOL049W below_threshold
YKL084W cytosol
YDR464W nucleus
YNL020C punctate
YLR392C below_threshold
YGL219C punctate
YPL110C cytosol
YMR003W mitochondria
YMR182C nucleus
YDR128W vacuole_membrane
YDR424C ER
YDR139C cytosol
YPL229W cytosol
YMR282C mitochondria
YBR215W nucleus
YPL075W nucleus
YPL157W nucleolus
YBR264C below_threshold
YHR132C vacuole
YGR149W cytosol
YNL086W punctate
YCR014C nucleus
YKR044W ambiguous
YJR140C nucleus
YJR116W cytosol
YAR003W nucleus
YKR103W below_threshold
YBR097W punctate
YBR179C mitochondria
YMR157C mitochondria
YDR349C cytosol
YJR022W nucleus
YMR303C cytosol
YPL020C nuclear_periphery
YMR323W cytosol
YGL005C punctate
YLL061W ER
YLR254C nucleus
YPR057W nucleus
YBR042C punctate
YOL067C nucleus:cytosol
YPL250C cytosol
YLR304C punctate
YDR485C nucleus
YHR103W cytosol
YNL233W bud_neck
YGL156W punctate
YJR058C below_threshold
YKL087C cytosol
YLR131C nucleus
YGL116W nucleus:cytosol
YPR031W nucleus
YNL127W cytosol
YPR186C nucleus
YMR283C cytosol
YJR132W cytosol
YDR239C cytosol
YJL137C cytosol
YNR031C cytosol
YDL102W nucleus
YHL048W ER
YDR216W cytosol
YDR024W cytosol
YGL086W nuclear_periphery
YDR532C punctate
YOR358W nucleus
YDR103W cytosol
YLR193C mitochondria
YJL209W mitochondria
YKR020W punctate
YPL191C cytosol
YMR115W mitochondria
YGR127W cytosol
YGR068C cytosol
YNR004W nucleolus
YMR129W nuclear_periphery
YNL326C below_threshold
YLR189C cytosol
YOL054W nucleus
YNL225C punctate
YNR049C bud_neck
YIL088C ER
YLR067C mitochondria
YLR035C below_threshold
YKL018C-A below_threshold
YPL124W punctate
YOR353C cytosol
YML058W-A below_threshold
YJR056C nucleus
YPL155C punctate
YOR247W cytosol
YJR136C cytosol
YMR106C nucleus
YMR233W nucleolus
YBL085W bud_neck
YMR162C below_threshold
YDR435C cytosol
YOL089C nucleus
YDR313C below_threshold
YBL029W cytosol
YOL128C cytosol
YOR152C cytosol
YML081W nucleus
YML118W below_threshold
YER101C cytosol
YMR068W below_threshold
YGL227W nucleus:cytosol
YBR092C vacuole
YFL024C nucleus
YDR437W ER
YIR007W cytosol
YKR021W cytosol
YNL107W nucleus
YJL092W nucleus
YER182W mitochondria
YDR391C below_threshold
YMR064W mitochondria
YGR036C ER
YDR067C cytosol
YJR050W nucleus
YLR425W cytosol
YDL155W nucleus
YMR209C cytosol
YNL167C nucleus
YBL032W nucleus
YNL074C cytosol
YLR375W nucleus
YHR199C mitochondria
YAL002W punctate
YPL249C bud_neck
YJL056C nucleus
YPL214C below_threshold
YGR257C mitochondria
YKL019W vacuole
YHR131C cytosol
YOL032W cytosol
YHR151C cytosol
YDR069C punctate
YGR237C cytosol
YLR326W cytosol
YBR103W nucleus
YDL209C nucleus
YIL077C mitochondria
YLR360W punctate
YHR120W mitochondria
YOR331C below_threshold
YBR096W ER
YNL200C cytosol
YBR276C cytosol
YIL005W punctate
YGL079W punctate
YPR128C punctate
YPL255W punctate
YJR078W cytosol
YKL105C cytosol
YLR310C cytosol
YIL064W cytosol
YPR083W cytosol
YGL085W mitochondria
YPL156C punctate
YIL061C nucleus
YGL053W below_threshold
YMR019W nucleus
YGR278W nucleus
YIL159W bud_neck
YAR008W mitochondria
YDL046W vacuole
YLR015W nucleus
YGR217W below_threshold
YGR240C punctate
YMR275C cytosol
YOL143C cytosol
YDR379W cytosol
YPR071W punctate:ER
YDR246W punctate
YPR058W mitochondria
YDR528W cytosol
YJL167W mitochondria
YCR079W mitochondria
YGL093W punctate
YER140W cytosol
YLR154C nucleus
YKR036C mitochondria
YDR420W below_threshold
YGR179C punctate
YOR028C nucleus
YKL168C cytosol
YCL032W cytosol
YDR183W cytosol
YJR019C mitochondria
YKR058W below_threshold
YBL010C punctate
YDR481C below_threshold
YNL003C mitochondria
YML053C nucleus:cytosol
YFR008W cytosol
YJR110W cytosol
YLR139C mitochondria
YMR112C nucleus
YJL070C cytosol
YDR303C nucleus
YDL240W bud_neck
YIL101C nucleus
YOR308C nucleus
YER162C nucleus
YKR022C nucleus
YMR225C mitochondria
YBR071W cytosol
YOR061W nucleus:cytosol
YMR284W nucleus
YCR023C below_threshold
YIL045W cytosol
YDR458C nuclear_periphery
YGR024C cytosol
YPL168W mitochondria
YPL064C nucleus
YML098W below_threshold
YDR184C nucleus
YGR004W cytosol
YGL242C below_threshold
YHR144C cytosol
YPR198W below_threshold
YGL247W nuclear_periphery
YLR211C below_threshold
YJL061W nuclear_periphery
YOR081C punctate
YNL009W cytosol
YNL257C cytosol
YBR195C nucleus
YDR180W nucleus
YLR240W punctate
YML116W cell_periphery
YDR137W punctate
YNL261W nucleus
YOL013C ER
YDL233W nucleus
YDR452W cytosol
YPR131C cytosol
YFR039C nuclear_periphery
YCR048W ER
YLR204W mitochondria
YDR422C cytosol
YDR097C nucleus
YMR081C cytosol
YER064C nucleus
YDR406W cytosol
YMR258C cytosol
YNR032W cytosol
YGR023W cytosol
YKL038W nucleus
YBL082C cytosol
YIL066C cytosol
YNL325C cytosol
YGL112C nucleus
YCL051W cytosol
YGL166W nucleus
YNL286W nucleus
YLR092W cytosol
YPL114W below_threshold
YER137C cytosol
YOR034C cytosol
YHR115C cytosol
YPL152W cytosol
YNL192W below_threshold
YCR069W below_threshold
YKR054C below_threshold
YBR060C nucleus
YJL222W below_threshold
YKL185W nucleus
YDR370C cytosol
YOR297C mitochondria
YDL183C mitochondria
YDR118W nucleus
YNL094W cytosol
YNL132W nucleus
YMR287C mitochondria
YBR194W nucleus
YAL061W cytosol
YLR083C cytosol
YOL125W nucleus
YOR305W mitochondria
YPR087W below_threshold
YML037C punctate
YLR130C ER
YMR102C cytosol
YML072C below_threshold
YML060W nucleus
YLR409C nucleus
YDL185C-A below_threshold
YCR092C below_threshold
YGR176W below_threshold
YNL189W below_threshold
YHR050W cytosol
YMR078C nucleus
YMR159C cytosol
YER001W punctate
YDR506C below_threshold
YPR147C cytosol
YBL107C cytosol
YJR007W cytosol
YMR026C punctate
YNL083W mitochondria
YOR289W cytosol
YJR120W below_threshold
YKR077W nucleus:cytosol
YBR205W vacuole
YHR205W cytosol
YPR011C mitochondria
YMR056C mitochondria
YIL002C cytosol
YPL133C nucleus
YNL058C vacuole
YIL054W below_threshold
YCR015C cytosol
YML109W cytosol
YDR319C below_threshold
YOR174W nucleus
YPR188C bud_neck
YAR019C punctate
YIR002C nucleus
YPR164W below_threshold
YGR268C cytosol
YPL244C below_threshold
YNL329C punctate
YLR289W mitochondria
YIL140W bud_neck
YOL100W below_threshold
YOR127W bud_neck
YPL166W punctate
YGR032W below_threshold
YDR072C cytosol
YBR167C nucleus
YDR079C-A nucleus
YGR056W cytosol
YMR293C mitochondria
YNL114C below_threshold
YLR105C mitochondria
YNL116W cytosol
YIL147C below_threshold
YDR185C mitochondria
YDR031W below_threshold
YDR334W nucleus
YDR538W mitochondria
YMR204C punctate
YAR027W ambiguous
YJR133W cytosol
YKR064W nucleus
YGL155W cytosol
YIL129C cytosol
YBL080C mitochondria
YLR382C mitochondria
YMR022W below_threshold
YPL219W below_threshold
YOL036W cytosol
YGR169C ambiguous
YPL066W cytosol:bud_neck
YPR153W cytosol
YDL006W cytosol
YML099C nucleus
YNL195C cytosol
YKL049C nucleus
YKL033W-A below_threshold
YNL077W nucleus
YJL129C below_threshold
YIL155C mitochondria
YGR091W nucleus
YDR375C mitochondria
YGR249W below_threshold
YKL159C below_threshold
YNL206C nucleus
YNL199C below_threshold
YJL147C mitochondria
YOL159C-A below_threshold
YJL095W cytosol
YKL201C below_threshold
YLR091W mitochondria
YJL217W cytosol
YOL095C cytosol
YPL002C cytosol
YOR278W below_threshold
YOR334W mitochondria
YPL001W cytosol
YDR043C nucleus
YER093C cytosol
YBL086C cell_periphery
YOL137W punctate
YKL149C nucleus
YDL020C nucleus
YNL172W nucleus
YOL083W punctate
YPL108W below_threshold
YBL098W mitochondria
YHR150W below_threshold
YOR300W below_threshold
YCR061W punctate
YBR144C below_threshold
YER129W below_threshold
YER033C below_threshold
YMR312W below_threshold
YML034W nuclear_periphery
YHR119W below_threshold
YOR264W bud_neck
YCL061C nucleus
YIL034C below_threshold
YHR175W below_threshold
YKR008W cytosol
YGR174C mitochondria
YFL017C below_threshold
