ORF Localization
YDR012W cytosol
YOR335C cytosol
YMR105C nucleus:cytosol
YPL220W cytosol
YLR180W cytosol
YCR024C-A vacuole:cell_periphery
YER102W cytosol
YBR084C-A cytosol
YJR105W cytosol
YJR016C mitochondria
YLR354C nucleus
YER056C-A cytosol
YOL139C cytosol
YNL096C cytosol
YKR059W cytosol
YPR132W nucleus:cytosol
YHL001W cytosol
YBR106W ER
YOR312C cytosol
YMR230W cytosol
YFL014W cytosol
YDR099W cytosol
YCR053W cytosol
YIL078W cytosol
YLR406C cytosol
YPL160W cytosol
YHR064C cytosol
YOR332W vacuole_membrane
YGR209C cytosol
YBR121C cytosol
YNL030W nucleus
YDR233C ER
YDL192W punctate
YGR196C cytosol
YMR309C cytosol
YER074W cytosol
YJL190C nucleus
YPL135W mitochondria
YPL106C cytosol
YBR025C cytosol
YGR124W cytosol
YBR143C cytosol
YGR204W cytosol
YPL265W cell_periphery
YLR325C cytosol
YOR234C cytosol
YJL088W cytosol
YPR041W cytosol
YLR333C cytosol
YHR179W cytosol
YNR016C punctate:cytosol
YDR353W cytosol
YPL249C-A cytosol
YMR058W cell_periphery
YJL080C ER
YOR361C cytosol
YDR070C mitochondria
YOR270C vacuole_membrane
YPR163C cytosol
YAL035W cytosol
YDL061C cytosol
YGL105W cytosol
YGR162W cytosol
YCL037C cytosol
YOR310C nucleolus
YDR129C punctate
YNL007C nucleus:cytosol
YJL177W cytosol
YBR039W mitochondria
YHR039C-A vacuole_membrane
YHL034C cytosol
YNL162W cytosol
YLR432W cytosol
YIL069C cytosol
YDL126C cytosol
YEL017C-A vacuole:cell_periphery
YIL094C mitochondria
YOL123W nucleus
YKL192C mitochondria
YMR194W cytosol
YKR094C cytosol
YJR070C cytosol
YJL153C cytosol
YPL198W nucleolus:cytosol
YOL121C cytosol
YDR529C mitochondria
YML058W cytosol
YKL085W mitochondria
YEL054C cytosol
YHR089C nucleolus
YGR264C cytosol
YNL135C cytosol
YGL206C punctate
YLR413W cell_periphery
YER145C cell_periphery
YOR136W mitochondria
YNL301C cytosol
YOR210W nucleus
YGL202W cytosol
YGL225W punctate
YGR060W ER
YOL140W mitochondria
YER178W punctate
YGR260W ER
YMR314W nucleus
YGL062W cytosol
YKR092C nucleolus
YDL066W mitochondria
YOR224C nucleus
YLR347C punctate:nuclear_periphery
YDR510W cytosol
YDR500C cytosol
YOR303W cytosol
YMR012W cytosol
YKL210W nucleus:cytosol
YOR157C nucleus
YOR168W cytosol
YDR158W cytosol
YGR234W cytosol
YMR241W mitochondria
YLL018C cytosol
YDR497C cell_periphery
YFL018C mitochondria
YPR191W mitochondria
YPR052C nucleus
YER117W nucleus
YBL015W mitochondria
YBR011C cytosol
YNL015W cytosol
YDL208W nucleolus
YER073W mitochondria
YGL011C nucleus
YKL216W cytosol
YGL122C nucleus
YER133W punctate:nucleus
YHR051W mitochondria
YDR429C cytosol
YPR036W vacuole_membrane
YBL087C nucleus
YIL074C cytosol
YJL001W nucleus
YER067W cytosol
YFR050C nucleus
YDR399W cytosol
YAL044C mitochondria
YBL039C cytosol
YPL253C nucleus
YNL037C mitochondria
YBR127C vacuole_membrane
YMR229C nucleolus
YML092C nucleus
YGL048C nucleus
YMR260C cytosol
YGR037C cytosol
YDR525W-A punctate:vacuole_membrane
YPR028W punctate:ER
YOL059W cytosol
YBL045C mitochondria
YNL287W punctate
YGL195W cytosol
YJR077C mitochondria
YBR079C cytosol
YML008C punctate
YKL145W nucleus
YNR034W-A cytosol
YDR074W cytosol
YMR002W cytosol
YOR276W cytosol
YLL009C cytosol
YPL048W cytosol
YMR011W cell_periphery
YPL145C cytosol
YHR007C ER
YGR175C ER:punctate
YLR208W punctate
YDL147W nucleus
YDR127W cytosol
YHR027C nucleus:cytosol
YJR010W cytosol
YGR135W nucleus
YOR184W cytosol
YGR211W nucleus:cytosol
YGL137W punctate
YJR063W nucleolus
YCL050C cytosol
YML100W cytosol
YPL028W nucleus
YPL093W nucleus
YOR206W nucleolus
YMR243C vacuole_membrane
YGL054C ER
YLR388W cytosol
YMR072W mitochondria
YDL145C punctate
YER069W mitochondria
YML012W ER
YDR238C punctate
YDR101C nucleus
YGR106C vacuole_membrane
YDR496C nucleus
YPR160W cytosol
YBR218C cytosol
YOR230W nucleus
YPR033C cytosol
YGL055W ER
YBL040C punctate:ER
YDR091C cytosol
YNL044W punctate
YKL016C mitochondria
YCL064C mitochondria
YPR110C nucleus
YGL037C punctate
YPL111W cytosol
YMR083W mitochondria
YML074C nucleus
YLR370C punctate
YDL232W ER
YNL241C cytosol
YOR117W nucleus
YMR318C cytosol
YNL061W nucleus
YEL031W ER
YLR449W nucleus
YNL121C mitochondria
YHR146W cell_periphery
YLR192C cytosol
YPR010C nucleolus
YOR285W ER
YIL148W nucleus:cytosol
YPL225W cytosol
YCL035C cytosol
YKL067W cytosol
YFR009W cytosol
YMR030W cytosol
YKR081C nucleus
YOL097C cytosol
YDL083C cytosol
YPL274W ER
YOL038W nucleus
YDR363W-A nucleus
YER006W nucleus
YOR362C nucleus:cytosol
YMR235C cytosol
YGL148W cytosol
YNL134C cytosol
YFR051C punctate
YEL047C cytosol
YNL010W cytosol
YKL211C cytosol
YNL281W cytosol
YEL051W vacuole_membrane
YCR034W ER
YIL075C nucleus
YLR216C cytosol
YPR069C cytosol
YAR015W cytosol
YLR056W ER
YNR053C nucleus
YKL009W nucleus
YJL109C nucleolus
YGL097W nucleus
YDR214W cytosol
YDR171W punctate
YGL077C cell_periphery
YDR258C mitochondria
YMR092C punctate:cytosol
YKR046C punctate
YDR454C cytosol
YNL113W nucleolus
YJL002C ER
YLR196W nucleus
YBL056W cytosol
YGL068W mitochondria
YML086C mitochondria
YHR052W nucleolus
YCR018C-A cytosol
YGL120C nucleolus
YGL207W nucleus
YOL077C nucleus
YLR179C cytosol
YBR248C cytosol
YDR427W nucleus
YGR167W punctate
YJR139C cytosol
YBR082C cytosol
YER110C nucleus:cytosol
YER141W mitochondria
YML049C cell_periphery:bud_neck
YGL031C cytosol
YGR157W ER
YPL260W cytosol
YFR052W nucleus
YLR262C-A cytosol
YMR189W mitochondria
YML056C cytosol
YGL078C nucleolus
YBR283C ER
YNL110C nucleus
YBL071W-A nucleus:cytosol
YLL041C mitochondria
YLR028C cytosol
YGR208W cytosol
YMR122W-A ER:cytosol
YMR062C mitochondria
YAL036C cytosol
YGL173C cytosol
YBL047C cell_periphery:bud_neck
YPR004C mitochondria
YLR438C-A nucleus:cytosol
YDR380W cytosol
YML070W cytosol
YIL062C punctate
YIL076W punctate
YPL117C nucleus:cytosol
YMR038C cytosol
YMR300C cytosol
YOR128C cytosol
YNL248C nucleolus
YPL012W nucleus:cytosol
YMR308C nucleus:cytosol
YIR012W nucleus:cytosol
YGR244C mitochondria
YOL012C nucleus
YPL273W cytosol
YJL180C cytosol
YGL029W nucleus
YCR028C-A mitochondria
YLR074C nucleus
YDR398W nucleolus
YML010W nucleus
YOR187W mitochondria
YKR043C cytosol
YHR137W cytosol
YOR302W cytosol
YCL017C mitochondria
YDR377W mitochondria
YNL247W cytosol
YHR196W nucleolus
YOR046C nuclear_periphery
YBR069C cell_periphery
YNR046W nucleus:cytosol
YDR124W cytosol
YDR300C cytosol
YGR173W cytosol
YKR048C cytosol
YDL072C ER
YER023W cytosol
YBR089C-A nucleus
YLR222C nucleolus
YDL015C punctate:ER
YPL246C punctate
YGR207C mitochondria
YER053C-A ER
YBR101C cytosol
YER048W-A mitochondria
YGR063C nucleus
YDL130W-A mitochondria
YJR137C cytosol
YOR293W nucleus
YPL126W nucleolus
YPR125W mitochondria
YDR487C cytosol
YCR004C punctate:cytosol
YKR014C cytosol
YDL100C ER
YOR176W mitochondria
YHL011C cytosol
YOR108W mitochondria
YNL055C mitochondria
YPR114W ER
YDR299W nucleolus
YHR170W cytosol
YGR218W nucleus
YBR054W cell_periphery
YHR025W punctate
YDR046C vacuole_membrane
YOL005C nucleus
YLR258W cytosol
YPL127C nucleus
YMR261C cytosol
YJL151C vacuole
YML125C ER
YER156C nucleus
YMR123W ER
YGR191W cell_periphery
YER003C cytosol
YBR263W mitochondria
YKL212W ER
YGR284C punctate:ER
YDL097C nucleus
YML081C-A mitochondria
YKL181W cytosol
YGR130C cell_periphery
YHR104W cytosol
YGR128C nucleolus
YCR057C nucleolus
YOR065W mitochondria
YKL065C ER
YML022W cytosol
YOL111C cytosol
YMR149W ER
YDR174W nucleolus
YBL007C punctate
YGR090W nucleus
YJR014W cytosol
YJL148W nucleolus
YHR108W punctate
YLR363W-A nucleus
YER090W cytosol
YER002W nucleus
YCL031C nucleus
YDL052C ER
