ORF	EL	MM
YDL075W	219.381	0.716
YDR391C	0.699	0.067
YPR121W	0.006	0.073
YFR006W	2.665	0.096
YDR529C	6.668	0.08
YPL006W	0.636	0.073
YKL176C	0.22	0.08
YNL284C	1.286	0.094
YKL165C	1.173	0.071
YPL171C	0.026	0.074
YNR057C	0.125	0.068
YPR134W	0.347	0.072
YNR022C	2.205	0.08
YOR222W	1.239	0.093
YDR499W	0.189	0.077
YPR065W	2.104	0.092
YHR029C	1.847	0.066
YGL252C	1.28	0.065
YDR264C	2.334	0.068
YGR122W	0.395	0.061
YHL016C	0.046	0.079
YBR156C	0.282	0.087
YKR100C	0.86	0.08
YDR019C	2.435	0.092
YJL216C	0.003	0.088
YOL041C	4.442	0.103
YMR321C	0.001	0.941
YDR261C	1.381	0.082
YCL030C	7.049	0.093
YJL140W	3.424	0.079
YER022W	0.766	0.086
YLR297W	0.377	0.088
YGR158C	2.117	0.05
YER118C	1.836	0.071
YDR047W	2.171	0.066
YCR008W	0.811	0.071
YLR450W	0.918	0.083
YML074C	12.706	0.169
YJR093C	1.357	0.088
YCR033W	0.438	0.09
YKL217W	0.025	0.081
YOR110W	0.76	0.09
YEL048C	1.042	0.06
YDR225W	57.158	0.784
YML031W	1.478	0.076
YLR208W	10.34	0.099
YFR048W	0.396	0.072
YDR313C	0.392	0.078
YMR124W	0.612	0.088
YHR015W	0.058	0.088
YBR131W	0.244	0.071
YHL001W	27.265	0.932
YDR119W	2.376	0.092
YER019C-A	15.516	0.159
YJL141C	0.397	0.086
YKL022C	0.444	0.065
YPL011C	0.566	0.079
YKL107W	0.016	0.075
YIL070C	3.399	0.11
YOR192C	0.002	0.221
YKL156W	164.38	0.446
YMR207C	0.067	0.084
YGR066C	0.009	0.07
YDR091C	5.809	0.1
YBL107C	1.006	0.095
YHR084W	0.925	0.074
YMR230W	89.403	0.794
YHR032W	1.487	0.076
YHL032C	0.088	0.082
YCR027C	0.716	0.048
YDL031W	2.063	0.089
YDR279W	0.749	0.072
YNR062C	0.018	0.09
YKL207W	4.948	0.082
YGR143W	0.493	0.085
YOR347C	0.678	0.076
YOR104W	0.749	0.317
YNL085W	3.373	0.098
YLR043C	46.3	0.235
YGR129W	0.663	0.087
YDR146C	1.212	0.083
YLR268W	3.752	0.095
YGR131W	0.1	0.067
YHR002W	0.169	0.065
YBR014C	3.022	0.095
YGL240W	0.246	0.076
YML027W	1.322	0.07
YDR496C	3.796	0.089
YNL175C	10.398	0.109
YMR226C	11.63	0.099
YGL194C-A	0.866	0.051
YPR008W	0.56	0.087
YDL165W	2.777	0.063
YMR224C	0.221	0.072
YDL022C-A	0.005	0.095
YBL021C	1.285	0.081
YOR140W	0.625	0.089
YOR367W	2.057	0.09
YIR039C	0.056	0.131
YNL200C	0.735	0.061
YFR045W	0.375	0.071
YNL277W-A	0.013	0.118
YMR282C	0.248	0.077
YJL057C	0.169	0.064
YNR063W	0.137	0.077
YPL226W	7.126	0.113
YOL164W-A	0.002	0.045
YDR045C	4.246	0.069
YOR352W	0.705	0.077
YLR363W-A	3.466	0.174
YBL052C	0.155	0.098
YJR098C	0.17	0.083
YMR275C	0.544	0.097
YMR012W	7.271	0.1
YOR198C	19.499	0.145
YFL058W	0.001	0.472
YBL063W	0.212	0.08
YNR032C-A	3.293	0.086
YKR017C	0.15	0.082
YBR293W	0.086	0.083
YJL077W-B	0.002	0.17
YMR023C	0.078	0.076
YNL334C	0.003	0.463
YDL159W-A	0.001	0.118
YJR017C	9.543	0.095
YJR055W	0.803	0.073
YOR019W	0.024	0.088
YLR363C	1.404	0.093
YDR275W	0.197	0.053
YOL084W	0.007	0.076
YPR166C	4.432	0.068
YDL240W	0.263	0.075
YDL029W	6.094	0.092
YOL022C	2.571	0.079
YJR134C	0.544	0.098
YLR267W	0.063	0.075
YBR078W	62.753	0.198
YLR290C	0.683	0.081
YCL047C	0.828	0.063
YNL103W	0.68	0.089
YJL056C	0.187	0.072
YGR087C	0.012	0.17
YAL055W	0.531	0.083
YKL139W	0.577	0.102
YLR449W	8.776	0.131
YGL172W	2.325	0.08
YOL058W	1.728	0.073
YBR063C	0.015	0.077
YLR299W	0.647	0.075
YHR121W	3.082	0.089
YGR216C	0.306	0.085
YPR047W	0.28	0.087
YKR052C	0.897	0.089
YGR100W	0.448	0.072
YIL132C	0.162	0.088
YDR056C	4.281	0.089
YGR043C	0.109	0.109
YGL213C	3.23	0.076
YBR013C	0.588	0.083
YKL020C	0.518	0.076
YNL227C	1.072	0.1
YPL110C	0.432	0.072
YMR263W	1.548	0.1
YJL058C	0.215	0.084
YMR172W	0.337	0.096
YLR006C	0.285	0.076
YCR069W	2.905	0.066
YMR087W	0.374	0.072
YDR173C	0.481	0.135
YGL130W	1.439	0.083
YLR263W	0.003	0.085
YCR093W	1.378	0.088
YKR083C	1.097	0.115
YIL053W	88.401	0.317
YLR206W	1.971	0.107
YGL075C	0.247	0.063
YML103C	1.103	0.087
YBR194W	0.536	0.086
YGL178W	0.553	0.075
YNL316C	0.662	0.059
YNL178W	207.462	0.344
YKL221W	0.005	0.073
YCR034W	7.927	0.105
YLL052C	0.253	0.129
YDL135C	5.114	0.08
YHR202W	0.173	0.067
YHL050C	0.001	0.089
YPR019W	0.992	0.069
YMR257C	0.058	0.074
YBL097W	0.355	0.075
YDR296W	2.083	0.064
YLR103C	0.295	0.08
YML054C	0.021	0.07
YMR173W	16.462	0.712
YDR210W-B	0.002	0.659
YMR068W	0.122	0.074
YJL088W	0.233	0.079
YGR111W	1.33	0.074
YJR090C	0.39	0.075
YEL070W	0.003	0.305
YCL039W	0.369	0.076
YHR170W	3.746	0.096
YJR007W	13.729	0.11
YJL174W	6.118	0.088
YCL014W	0.457	0.086
YNL056W	1.118	0.063
YJL033W	1.827	0.096
YGL063W	0.118	0.064
YDR152W	3.331	0.095
YIL052C	132.781	0.783
YBR296C	1.479	0.08
YCR048W	2.721	0.224
YFL026W	8.268	0.115
YML015C	0.631	0.06
YBR115C	2.986	0.076
YML080W	0.982	0.066
YPR165W	18.546	0.172
YOR230W	13.639	0.128
YER084W	0.051	0.097
YGR187C	3.42	0.109
YGR092W	0.996	0.086
YDL217C	1.816	0.063
YKR070W	1.752	0.066
YKL214C	3.03	0.052
YPR088C	6.362	0.09
YHR001W	1.868	0.075
YPL092W	0.865	0.101
YDR251W	0.784	0.086
YDR217C	0.399	0.092
YPR043W	453.187	0.699
YGR135W	8.035	0.09
YML082W	0.559	0.085
YDR282C	0.203	0.068
YJR075W	3.681	0.092
YOR181W	1.201	0.08
YBR286W	22.235	0.156
YBR150C	0.173	0.108
YER126C	7.144	0.129
YPL096W	0.643	0.071
YNL062C	2.113	0.094
YHR098C	2.354	0.074
YDL137W	16.237	0.532
YLR025W	2.937	0.105
YNR013C	1.654	0.082
YNL015W	5.886	0.152
YEL055C	2.109	0.097
YMR298W	8.319	0.081
YMR130W	1.026	0.076
YDR310C	0.546	0.096
YLR020C	0.676	0.074
YPR114W	2.369	0.084
YDR004W	0.166	0.074
YPL163C	7.791	0.098
YOR137C	0.061	0.075
YBL085W	0.771	0.09
YLL003W	0.081	0.072
YDR085C	0.085	0.064
YGL134W	0.193	0.06
YFR012W	0.011	0.076
YBL056W	3.217	0.075
YBR010W	49.504	0.715
YGR192C	733.902	0.99
YBR061C	2.057	0.102
YFR029W	0.253	0.09
YDR375C	0.438	0.064
YJR154W	0.021	0.082
YJL100W	0.135	0.077
YNL146C-A	0.041	0.088
YIL140W	1.125	0.072
YBR035C	7.998	0.094
YIL129C	0.389	0.089
YCR035C	1.753	0.082
YOL038W	8.148	0.095
YKL190W	4.612	0.092
YBR162W-A	13.449	0.137
YLL033W	0.239	0.079
YDR017C	0.662	0.082
YDR055W	3.928	0.087
YGL073W	0.774	0.091
YKL106C-A	0.02	0.057
YIR028W	0.01	0.066
YJL138C	6.0	0.993
YBR126W-A	28.586	0.128
YGR055W	5.295	0.095
YJR008W	0.132	0.064
YBR017C	2.167	0.088
YHR087W	1.416	0.064
YLL038C	0.708	0.087
YPR068C	0.139	0.063
YJL051W	0.269	0.071
YMR189W	1.598	0.081
YEL031W	5.635	0.103
YLR056W	15.785	0.117
YGL050W	1.036	0.07
YGL037C	9.113	0.114
YIL021W	7.039	0.076
YLR185W	152.257	0.711
YGR271C-A	2.282	0.118
YDR380W	1.115	0.094
YLR369W	0.58	0.075
YNR024W	2.286	0.111
YER087C-B	16.614	0.135
YHR139C	0.005	0.058
YLR347C	4.367	0.081
YKL009W	9.579	0.092
YOL034W	0.164	0.08
YIL164C	0.037	0.073
YER190W	0.0	0.216
YHL006C	0.276	0.05
YGL235W	0.005	0.713
YPL048W	17.517	0.231
YGR141W	0.775	0.071
YPL247C	0.351	0.079
YGL054C	14.228	0.095
YHR082C	0.704	0.084
YMR163C	0.142	0.074
YPL120W	0.355	0.089
YHR008C	9.286	0.079
YDR419W	0.212	0.087
